Id,SalePrice
1461,137995.7
1462,165078.38
1463,184019.14
1464,205052.9
1465,177375.14
1466,163093.53
1467,180933.81
1468,161083.2
1469,186010.97
1470,121151.664
1471,195791.98
1472,101142.98
1473,117604.22
1474,153549.88
1475,115282.414
1476,381508.8
1477,256476.03
1478,311912.8
1479,290509.22
1480,408713.66
1481,354891.16
1482,209232.89
1483,179172.12
1484,164196.36
1485,178436.73
1486,199535.0
1487,314953.53
1488,236490.94
1489,214498.83
1490,225343.61
1491,187204.97
1492,106476.22
1493,195322.97
1494,302830.7
1495,261094.77
1496,230941.98
1497,191421.0
1498,155936.7
1499,152783.62
1500,157569.36
1501,184954.0
1502,144385.08
1503,315563.12
1504,244834.48
1505,231413.02
1506,202819.2
1507,270955.62
1508,181288.27
1509,160675.48
1510,148303.84
1511,141449.42
1512,164773.17
1513,142904.56
1514,136378.28
1515,219364.58
1516,137667.22
1517,182653.6
1518,136383.38
1519,218167.25
1520,131692.33
1521,131101.34
1522,140567.53
1523,111954.54
1524,116795.73
1525,97994.45
1526,110909.48
1527,111060.7
1528,131627.1
1529,149415.97
1530,176058.89
1531,105559.445
1532,97675.414
1533,150845.0
1534,114426.31
1535,149845.7
1536,118721.81
1537,67055.37
1538,156037.31
1539,193602.8
1540,95713.73
1541,137229.14
1542,126670.664
1543,213854.42
1544,85733.08
1545,106423.2
1546,131489.3
1547,130989.375
1548,126643.32
1549,111059.01
1550,145700.44
1551,113599.42
1552,141992.67
1553,156017.44
1554,118626.91
1555,180087.25
1556,83910.15
1557,100613.03
1558,104228.48
1559,106538.32
1560,133225.81
1561,138792.97
1562,122843.65
1563,113341.516
1564,163764.62
1565,156034.05
1566,222515.14
1567,77309.516
1568,231629.28
1569,121573.08
1570,141115.58
1571,124464.914
1572,139116.4
1573,265476.25
1574,128279.3
1575,210741.73
1576,252994.89
1577,190650.02
1578,145842.4
1579,140044.12
1580,186839.25
1581,160194.97
1582,141377.34
1583,315753.25
1584,234481.69
1585,139244.89
1586,63425.832
1587,93548.98
1588,156603.44
1589,79979.734
1590,139345.94
1591,94436.16
1592,121274.04
1593,120775.58
1594,121153.01
1595,117576.08
1596,214269.06
1597,158597.84
1598,191111.16
1599,168335.0
1600,167081.05
1601,57204.016
1602,97046.336
1603,110275.12
1604,280604.72
1605,246669.11
1606,187464.9
1607,157724.3
1608,232146.28
1609,183764.31
1610,158166.92
1611,153791.97
1612,184038.69
1613,176672.73
1614,124432.07
1615,92666.14
1616,71611.95
1617,96862.12
1618,121702.76
1619,152227.44
1620,199108.42
1621,140167.64
1622,124033.37
1623,273968.5
1624,219769.12
1625,118082.74
1626,156009.72
1627,185549.22
1628,278269.2
1629,174844.95
1630,345083.3
1631,231058.23
1632,247605.19
1633,162737.92
1634,185344.95
1635,177379.81
1636,161756.03
1637,186294.36
1638,207594.05
1639,178098.58
1640,257895.47
1641,164881.61
1642,251626.86
1643,236850.81
1644,230321.94
1645,195013.66
1646,165086.36
1647,157100.92
1648,141656.56
1649,144817.92
1650,118606.81
1651,108130.63
1652,100058.41
1653,97968.12
1654,147797.66
1655,130307.52
1656,144808.55
1657,156020.38
1658,150478.06
1659,123749.46
1660,163382.73
1661,470032.38
1662,406012.3
1663,373319.03
1664,580359.7
1665,334758.8
1666,300088.7
1667,377598.28
1668,339690.9
1669,302183.97
1670,368019.0
1671,243059.8
1672,519550.22
1673,279457.6
1674,234620.7
1675,181295.38
1676,194218.62
1677,231604.75
1678,546074.94
1679,365997.5
1680,397540.8
1681,263521.88
1682,295206.6
1683,181381.4
1684,170434.42
1685,166312.94
1686,169685.25
1687,161158.6
1688,192509.88
1689,202946.03
1690,193625.48
1691,184273.98
1692,257549.58
1693,160550.73
1694,185680.92
1695,163135.95
